X,Z
75.0,1008.9900912596131
76.0,1008.9750912596131
77.0,1008.9600912596131
78.0,1008.9450912596132
79.0,1008.9300912596132
80.0,1008.9150912596131
81.0,1008.9000912596131
82.0,1008.8850912596131
83.0,1008.8700912596131
84.0,1008.8550912596131
85.0,1008.8400912596131
86.0,1008.8250912596131
87.0,1008.8100912596132
88.0,1008.7950912596131
89.0,1008.7800912596131
90.0,1008.7650912596131
91.0,1008.7500912596131
92.0,1008.7350912596131
93.0,1008.7200912596131
94.0,1008.7050912596131
95.0,1008.6900912596132
96.0,1008.675091259613
97.0,1008.6600912596131
98.0,1008.6450912596131
99.0,1008.6300912596131
100.0,1008.6150912596131
101.0,1008.6000912596131
102.0,1008.5850912596131
103.0,1008.5700912596132
104.0,1008.5550912596132
105.0,1008.5400912596131
106.0,1008.5250912596131
107.0,1008.5100912596131
108.0,1008.4950912596131
109.0,1008.4800912596131
110.0,1008.4650912596131
111.0,1008.4500912596131
112.0,1008.4350912596132
113.0,1008.4200912596131
114.0,1008.4050912596131
115.0,1008.3900912596131
116.0,1008.3750912596131
117.0,1008.3600912596131
118.0,1008.3450912596131
119.0,1008.3300912596131
120.0,1008.3150912596132
121.0,1008.300091259613
122.0,1008.2850912596131
123.0,1008.2700912596131
124.0,1008.2550912596131
125.0,1008.2400912596131
126.0,1008.2250912596131
127.0,1008.2100912596131
128.0,1008.1950912596132
129.0,1008.1800912596132
130.0,1008.1650912596131
131.0,1008.1500912596131
132.0,1008.1350912596131
133.0,1008.1200912596131
134.0,1008.1050912596131
135.0,1008.0900912596131
136.0,1008.0750912596131
137.0,1008.0600912596132
138.0,1008.0450912596131
138.0,1008.0450912596131
0.0,1010.1150912596131
1.0,1010.1000912596131
2.0,1010.0850912596131
3.0,1010.0700912596132
4.0,1010.0550912596132
5.0,1010.0400912596131
6.0,1010.0250912596131
7.0,1010.0100912596131
8.0,1009.9950912596131
9.0,1009.9800912596131
10.0,1009.9650912596131
11.0,1009.9500912596131
12.0,1009.9350912596132
13.0,1009.9200912596131
14.0,1009.9050912596131
15.0,1009.8900912596131
16.0,1009.8750912596131
17.0,1009.8600912596131
18.0,1009.8450912596131
19.0,1009.8300912596131
20.0,1009.8150912596132
21.0,1009.800091259613
22.0,1009.7850912596131
23.0,1009.7700912596131
24.0,1009.7550912596131
25.0,1009.7400912596131
26.0,1009.7250912596131
27.0,1009.7100912596131
28.0,1009.6950912596132
29.0,1009.6800912596132
30.0,1009.6650912596131
31.0,1009.6500912596131
32.0,1009.6350912596131
33.0,1009.6200912596131
34.0,1009.6050912596131
35.0,1009.5900912596131
36.0,1009.5750912596131
37.0,1009.5600912596132
38.0,1009.5450912596131
39.0,1009.5300912596131
40.0,1009.5150912596131
41.0,1009.5000912596131
42.0,1009.4850912596131
43.0,1009.4700912596131
44.0,1009.4550912596131
45.0,1009.4400912596132
46.0,1009.425091259613
47.0,1009.4100912596131
48.0,1009.3950912596131
49.0,1009.3800912596131
50.0,1009.3650912596131
51.0,1009.3500912596131
52.0,1009.3350912596131
53.0,1009.3200912596132
54.0,1009.3050912596132
55.0,1009.2900912596131
56.0,1009.2750912596131
57.0,1009.2600912596131
58.0,1009.2450912596131
59.0,1009.2300912596131
60.0,1009.2150912596131
61.0,1009.2000912596131
62.0,1009.1850912596132
63.0,1009.1700912596131
64.0,1009.1550912596131
65.0,1009.1400912596131
66.0,1009.1250912596131
67.0,1009.1100912596131
68.0,1009.0950912596131
69.0,1009.0800912596131
70.0,1009.0650912596132
71.0,1009.050091259613
72.0,1009.0350912596131
73.0,1009.0200912596131
74.0,1009.0050912596131
75.0,1008.9900912596131
76.0,1008.9750912596131
77.0,1008.9600912596131
78.0,1008.9450912596132
79.0,1008.9300912596132
80.0,1008.9150912596131
81.0,1008.9000912596131
82.0,1008.8850912596131
83.0,1008.8700912596131
84.0,1008.8550912596131
85.0,1008.8400912596131
86.0,1008.8250912596131
87.0,1008.8100912596132
88.0,1008.7950912596131
89.0,1008.7800912596131
90.0,1008.7650912596131
91.0,1008.7500912596131
92.0,1008.7350912596131
93.0,1008.7200912596131
94.0,1008.7050912596131
95.0,1008.6900912596132
96.0,1008.675091259613
97.0,1008.6600912596131
98.0,1008.6450912596131
99.0,1008.6300912596131
100.0,1008.6150912596131
101.0,1008.6000912596131
102.0,1008.5850912596131
103.0,1008.5700912596132
104.0,1008.5550912596132
105.0,1008.5400912596131
106.0,1008.5250912596131
107.0,1008.5100912596131
108.0,1008.4950912596131
109.0,1008.4800912596131
110.0,1008.4650912596131
111.0,1008.4500912596131
112.0,1008.4350912596132
113.0,1008.4200912596131
114.0,1008.4050912596131
115.0,1008.3900912596131
116.0,1008.3750912596131
117.0,1008.3600912596131
118.0,1008.3450912596131
119.0,1008.3300912596131
120.0,1008.3150912596132
121.0,1008.300091259613
122.0,1008.2850912596131
123.0,1008.2700912596131
124.0,1008.2550912596131
125.0,1008.2400912596131
126.0,1008.2250912596131
127.0,1008.2100912596131
128.0,1008.1950912596132
129.0,1008.1800912596132
130.0,1008.1650912596131
131.0,1008.1500912596131
132.0,1008.1350912596131
133.0,1008.1200912596131
134.0,1008.1050912596131
135.0,1008.0900912596131
136.0,1008.0750912596131
137.0,1008.0600912596132
138.0,1008.0450912596131
138.0,1008.0450912596131
0.0,1005.1150912596131
1.0,1005.1000912596131
2.0,1005.0850912596131
3.0,1005.0700912596132
4.0,1005.0550912596132
5.0,1005.0400912596131
6.0,1005.0250912596131
7.0,1005.0100912596131
8.0,1004.9950912596131
9.0,1004.9800912596131
10.0,1004.9650912596131
11.0,1004.9500912596131
12.0,1004.9350912596132
13.0,1004.9200912596131
14.0,1004.9050912596131
15.0,1004.8900912596131
16.0,1004.8750912596131
17.0,1004.8600912596131
18.0,1004.8450912596131
19.0,1004.8300912596131
20.0,1004.8150912596132
21.0,1004.800091259613
22.0,1004.7850912596131
23.0,1004.7700912596131
24.0,1004.7550912596131
25.0,1004.7400912596131
26.0,1004.7250912596131
27.0,1004.7100912596131
28.0,1004.6950912596132
29.0,1004.6800912596132
30.0,1004.6650912596131
31.0,1004.6500912596131
32.0,1004.6350912596131
33.0,1004.6200912596131
34.0,1004.6050912596131
35.0,1004.5900912596131
36.0,1004.5750912596131
37.0,1004.5600912596132
38.0,1004.5450912596131
39.0,1004.5300912596131
40.0,1004.5150912596131
41.0,1004.5000912596131
42.0,1004.4850912596131
43.0,1004.4700912596131
44.0,1004.4550912596131
45.0,1004.4400912596132
46.0,1004.425091259613
47.0,1004.4100912596131
48.0,1004.3950912596131
49.0,1004.3800912596131
50.0,1004.3650912596131
51.0,1004.3500912596131
52.0,1004.3350912596131
53.0,1004.3200912596132
54.0,1004.3050912596132
55.0,1004.2900912596131
56.0,1004.2750912596131
57.0,1004.2600912596131
58.0,1004.2450912596131
59.0,1004.2300912596131
60.0,1004.2150912596131
61.0,1004.2000912596131
62.0,1004.1850912596132
63.0,1004.1700912596131
64.0,1004.1550912596131
65.0,1004.1400912596131
66.0,1004.1250912596131
67.0,1004.1100912596131
68.0,1004.0950912596131
69.0,1004.0800912596131
70.0,1004.0650912596132
71.0,1004.050091259613
72.0,1004.0350912596131
73.0,1004.0200912596131
74.0,1004.0050912596131
75.0,1003.9900912596131
76.0,1003.9750912596131
77.0,1003.9600912596131
78.0,1003.9450912596132
79.0,1003.9300912596132
80.0,1003.9150912596131
81.0,1003.9000912596131
82.0,1003.8850912596131
83.0,1003.8700912596131
84.0,1003.8550912596131
85.0,1003.8400912596131
86.0,1003.8250912596131
87.0,1003.8100912596132
88.0,1003.7950912596131
89.0,1003.7800912596131
90.0,1003.7650912596131
91.0,1003.7500912596131
92.0,1003.7350912596131
93.0,1003.7200912596131
94.0,1003.7050912596131
95.0,1003.6900912596132
96.0,1003.675091259613
97.0,1003.6600912596131
98.0,1003.6450912596131
99.0,1003.6300912596131
100.0,1003.6150912596131
101.0,1003.6000912596131
102.0,1003.5850912596131
103.0,1003.5700912596132
104.0,1003.5550912596132
105.0,1003.5400912596131
106.0,1003.5250912596131
107.0,1003.5100912596131
108.0,1003.4950912596131
109.0,1003.4800912596131
110.0,1003.4650912596131
111.0,1003.4500912596131
112.0,1003.4350912596132
113.0,1003.4200912596131
114.0,1003.4050912596131
115.0,1003.3900912596131
116.0,1003.3750912596131
117.0,1003.3600912596131
118.0,1003.3450912596131
119.0,1003.3300912596131
120.0,1003.3150912596132
121.0,1003.300091259613
122.0,1003.2850912596131
123.0,1003.2700912596131
124.0,1003.2550912596131
125.0,1003.2400912596131
126.0,1003.2250912596131
127.0,1003.2100912596131
128.0,1003.1950912596132
129.0,1003.1800912596132
130.0,1003.1650912596131
131.0,1003.1500912596131
132.0,1003.1350912596131
133.0,1003.1200912596131
134.0,1003.1050912596131
135.0,1003.0900912596131
136.0,1003.0750912596131
137.0,1003.0600912596132
138.0,1003.0450912596131
138.0,1003.0450912596131
0.0,1010.1150912596131
1.0,1010.1000912596131
2.0,1010.0850912596131
3.0,1010.0700912596132
4.0,1010.0550912596132
5.0,1010.0400912596131
6.0,1010.0250912596131
7.0,1010.0100912596131
8.0,1009.9950912596131
9.0,1009.9800912596131
10.0,1009.9650912596131
11.0,1009.9500912596131
12.0,1009.9350912596132
13.0,1009.9200912596131
14.0,1009.9050912596131
15.0,1009.8900912596131
16.0,1009.8750912596131
17.0,1009.8600912596131
18.0,1009.8450912596131
19.0,1009.8300912596131
20.0,1009.8150912596132
21.0,1009.800091259613
22.0,1009.7850912596131
23.0,1009.7700912596131
24.0,1009.7550912596131
25.0,1009.7400912596131
26.0,1009.7250912596131
27.0,1009.7100912596131
28.0,1009.6950912596132
29.0,1009.6800912596132
30.0,1009.6650912596131
31.0,1009.6500912596131
32.0,1009.6350912596131
33.0,1009.6200912596131
34.0,1009.6050912596131
35.0,1009.5900912596131
36.0,1009.5750912596131
37.0,1009.5600912596132
38.0,1009.5450912596131
39.0,1009.5300912596131
40.0,1009.5150912596131
41.0,1009.5000912596131
42.0,1009.4850912596131
43.0,1009.4700912596131
44.0,1009.4550912596131
45.0,1009.4400912596132
46.0,1009.425091259613
47.0,1009.4100912596131
48.0,1009.3950912596131
49.0,1009.3800912596131
50.0,1009.3650912596131
51.0,1009.3500912596131
52.0,1009.3350912596131
53.0,1009.3200912596132
54.0,1009.3050912596132
55.0,1009.2900912596131
56.0,1009.2750912596131
57.0,1009.2600912596131
58.0,1009.2450912596131
59.0,1009.2300912596131
60.0,1009.2150912596131
61.0,1009.2000912596131
62.0,1009.1850912596132
63.0,1009.1700912596131
64.0,1009.1550912596131
65.0,1009.1400912596131
66.0,1009.1250912596131
67.0,1009.1100912596131
68.0,1009.0950912596131
69.0,1009.0800912596131
70.0,1009.0650912596132
71.0,1009.050091259613
72.0,1009.0350912596131
73.0,1009.0200912596131
74.0,1009.0050912596131
75.0,1008.9900912596131
76.0,1008.9750912596131
77.0,1008.9600912596131
78.0,1008.9450912596132
79.0,1008.9300912596132
80.0,1008.9150912596131
81.0,1008.9000912596131
82.0,1008.8850912596131
83.0,1008.8700912596131
84.0,1008.8550912596131
85.0,1008.8400912596131
86.0,1008.8250912596131
87.0,1008.8100912596132
88.0,1008.7950912596131
89.0,1008.7800912596131
90.0,1008.7650912596131
91.0,1008.7500912596131
92.0,1008.7350912596131
93.0,1008.7200912596131
94.0,1008.7050912596131
95.0,1008.6900912596132
96.0,1008.675091259613
97.0,1008.6600912596131
98.0,1008.6450912596131
99.0,1008.6300912596131
100.0,1008.6150912596131
101.0,1008.6000912596131
102.0,1008.5850912596131
103.0,1008.5700912596132
104.0,1008.5550912596132
105.0,1008.5400912596131
106.0,1008.5250912596131
107.0,1008.5100912596131
108.0,1008.4950912596131
109.0,1008.4800912596131
110.0,1008.4650912596131
111.0,1008.4500912596131
112.0,1008.4350912596132
113.0,1008.4200912596131
114.0,1008.4050912596131
115.0,1008.3900912596131
116.0,1008.3750912596131
117.0,1008.3600912596131
118.0,1008.3450912596131
119.0,1008.3300912596131
120.0,1008.3150912596132
121.0,1008.300091259613
122.0,1008.2850912596131
123.0,1008.2700912596131
124.0,1008.2550912596131
125.0,1008.2400912596131
126.0,1008.2250912596131
127.0,1008.2100912596131
128.0,1008.1950912596132
129.0,1008.1800912596132
130.0,1008.1650912596131
131.0,1008.1500912596131
132.0,1008.1350912596131
133.0,1008.1200912596131
134.0,1008.1050912596131
135.0,1008.0900912596131
136.0,1008.0750912596131
137.0,1008.0600912596132
138.0,1008.0450912596131
138.0,1008.0450912596131
0.0,1010.1150912596131
1.0,1010.1000912596131
2.0,1010.0850912596131
3.0,1010.0700912596132
4.0,1010.0550912596132
5.0,1010.0400912596131
6.0,1010.0250912596131
7.0,1010.0100912596131
8.0,1009.9950912596131
9.0,1009.9800912596131
10.0,1009.9650912596131
11.0,1009.9500912596131
12.0,1009.9350912596132
13.0,1009.9200912596131
14.0,1009.9050912596131
15.0,1009.8900912596131
16.0,1009.8750912596131
17.0,1009.8600912596131
18.0,1009.8450912596131
19.0,1009.8300912596131
20.0,1009.8150912596132
21.0,1009.800091259613
22.0,1009.7850912596131
23.0,1009.7700912596131
24.0,1009.7550912596131
25.0,1009.7400912596131
26.0,1009.7250912596131
27.0,1009.7100912596131
28.0,1009.6950912596132
29.0,1009.6800912596132
30.0,1009.6650912596131
31.0,1009.6500912596131
32.0,1009.6350912596131
33.0,1009.6200912596131
34.0,1009.6050912596131
35.0,1009.5900912596131
36.0,1009.5750912596131
37.0,1009.5600912596132
38.0,1009.5450912596131
39.0,1009.5300912596131
40.0,1009.5150912596131
41.0,1009.5000912596131
42.0,1009.4850912596131
43.0,1009.4700912596131
44.0,1009.4550912596131
45.0,1009.4400912596132
46.0,1009.425091259613
47.0,1009.4100912596131
48.0,1009.3950912596131
